종목명,종목코드,현재가,전일대비,등락률(%),거래량,거래대금,외국인보유율(%),시가총액
쎄크,081180,5750,490,9.32,838428,5041766000,5.76,50746000000
아시아경제,127710,1152,93,8.78,234208,266621000,0.13,50744000000
모티브링크,463480,4095,90,2.25,2691,10594000,1.92,50738000000
고려산업,002140,2030,-10,-0.49,150060,304000000,1.54,50627000000
포스뱅크,105760,4965,-10,-0.2,16023,78710000,3.5,50597000000
롯데칠성우,005305,65100,-700,-1.06,773,50000000,13.31,50472000000
대진첨단소재,393970,2825,0,0,0,0,3.85,50428000000
우원개발,046940,2790,15,0.54,25983,72336000,6.03,50427000000
일월지엠엘,178780,2705,195,7.77,919,2295000,1.17,50419000000
씨유테크,376290,2855,180,6.73,20645,55855000,70.3,50412000000
쏘닉스,088280,2900,145,5.26,241294,724890000,20.79,50188000000
레이저옵텍,199550,3370,165,5.15,12848,40795000,1.63,50030000000
에이테크솔루션,071670,5000,-20,-0.4,8328,41173000,1.73,50000000000
파수AI,150900,4265,-20,-0.47,425904,1794223000,7.22,49917000000
제이투케이바이오,420570,8530,180,2.16,30738,257627000,1.45,49879000000
이지스,261520,4845,-150,-3,21581,105543000,1.67,49795000000
인바이오젠,101140,4950,-40,-0.8,2727,13000000,0.82,49718000000
에스씨디,042110,1023,24,2.4,153637,154583000,54.72,49441000000
